,Nr.,Name,Abbrev.,General Formula,Specific Formula,Calculated,Info.,description
105,106,Normalized Difference 833/658,ND833/658,833nm-658nm833nm+658nm,8-48+4,Automatic,More,"Normalized Difference 833/658 (ND833/658) is a vegetation index derived from Sentinel-2 satellite imagery. It is calculated as the difference between the reflectance values in the near-infrared (833 nm) and red (658 nm) bands, divided by the sum of these values. ND833/658 is sensitive to chlorophyll content and leaf area index, making it a useful indicator of vegetation health and biomass. Values of ND833/658 typically range from -1 to +1, with higher values indicating denser and healthier vegetation."
106,107,Normalized Difference 860/1640,SIWSI,860nm-1640nm860nm+1640nm,8a-118a+11,Automatic,More,"The Soil and Water Index (SIWSI) is a vegetation index calculated as the normalized difference between Sentinel-2 bands 8 (near-infrared, 860 nm) and 12 (shortwave infrared, 1640 nm). It is sensitive to soil and vegetation water content and is commonly used to monitor agricultural drought stress and soil moisture dynamics."
107,108,Normalized Difference 895/675,ND895/675,895nm-675nm895nm+675nm,8-48+4,Automatic,More,"The Normalized Difference 895/675 (ND895/675) is a vegetation index that measures the difference between the reflectance of two specific wavelengths: 895 nm and 675 nm. This index is commonly used to estimate the amount of vegetation present in an area, as it is sensitive to the presence of chlorophyll in plant leaves. Higher values of ND895/675 indicate a greater abundance of vegetation, while lower values indicate less vegetation or the presence of other materials such as soil or water."
108,109,"Normalized Difference Green/Red Normalized green red difference index, Visible Atmospherically Resistant Indices Green (VIgreen)",NGRDI,GREEN-REDGREEN+RED,3-53+5,Automatic,More,"The Normalized Difference Green/Red Normalized Green Red Difference Index (NGRDI) is a vegetation index designed to enhance the detection of vegetation against a background of soil and other non-vegetative surfaces. It is calculated as the normalized difference between the green and red bands of Sentinel-2 satellite imagery, with the green band being weighted more heavily. This weighting emphasizes the contribution of the green band, which is sensitive to chlorophyll absorption, and reduces the influence of the red band, which is more affected by soil reflectance. As a result, NGRDI is particularly effective at discriminating between vegetation and non-vegetative surfaces, even in areas with high soil background."
109,110,Normalized Difference MIR/NIR Normalized Difference Vegetation Index (in case of strong atmospheric disturbances),NDVI,MIR-NIRMIR+NIR,12-812+8,Automatic,More,"The Normalized Difference Vegetation Index (NDVI) is a measure of the greenness of vegetation, and is widely used in remote sensing to monitor vegetation health and productivity. NDVI is calculated as the difference between the near-infrared (NIR) and red bands of the electromagnetic spectrum, divided by the sum of the NIR and red bands. NIR light is strongly reflected by vegetation, while red light is absorbed by chlorophyll. Therefore, healthy vegetation with high chlorophyll content will have a high NDVI value, while unhealthy or stressed vegetation will have a low NDVI value. NDVI can be used to monitor changes in vegetation over time, such as due to drought, disease, or land use change."
110,111,Normalized Difference NIR/Blue Blue-normalized difference vegetation index,BNDVI,NIR-BLUENIR+BLUE,9-19+1,Automatic,More,"Normalized Difference NIR/Blue Blue-normalized difference vegetation index (BNDVI) is a vegetation index derived from Sentinel-2 satellite imagery. It measures the difference between NIR and blue bands on a normalized scale. BNDVI is used to monitor vegetation health and vigor, as healthy vegetation absorbs more NIR light and less blue light than unhealthy or stressed vegetation. It can be used to identify areas of high vegetation density, biomass, and productivity, making it valuable for applications such as forestry, agriculture, and environmental monitoring."
111,112,Normalized Difference NIR/Green Green NDVI,GNDVI,NIR-GREENNIR+GREEN,9-39+3,Automatic,More,"**Normalized Difference NIR/Green Green NDVI (GNDVI)**

The Normalized Difference NIR/Green Green NDVI (GNDVI) is a vegetation index designed specifically for Sentinel-2 imagery. It emphasizes the difference between the near-infrared (NIR) and green bands, while minimizing the effect of soil background. This index is particularly useful for distinguishing between vegetation and non-vegetation areas, making it suitable for applications such as land cover classification, forest monitoring, and crop health assessment."
112,113,Normalized Difference NIR/MIR Modified Normalized Difference Vegetation Index,MNDVI,NIR-MIRNIR+MIR,9-129+12,Automatic,More,"The Modified Normalized Difference Vegetation Index (MNDVI) is a vegetation index derived from Sentinel-2 imagery. It is used to assess vegetation health and vigor by measuring the difference between the near-infrared (NIR) and mid-infrared (MIR) bands. Healthy vegetation typically has high NIR reflectance and low MIR reflectance, resulting in positive MNDVI values. Low MNDVI values indicate low vegetation cover or poor vegetation health."
113,114,"Normalized Difference NIR/Red Normalized Difference Vegetation Index, Calibrated NDVI - CDVI",NDVI,NIR-REDNIR+RED,8-48+4,Automatic,More,"Normalized Difference Vegetation Index (NDVI) is a satellite-based vegetation index that measures the difference between near-infrared (NIR) and red reflectance values. It is commonly used to assess the presence, health, and vigor of vegetation. Higher NDVI values indicate healthier and more abundant vegetation, while lower values indicate less vegetation or stressed vegetation. NDVI is calculated as follows: (NIR - Red) / (NIR + Red)."
114,115,Normalized Difference NIR/Rededge Normalized Difference Red-Edge,NDRE,NIR-rededgeNIR+rededge,9-59+5,Automatic,More,"Normalized Difference Red-Edge (NDRE) is a vegetation index that utilizes the red-edge spectral region to assess vegetation canopy structure and chlorophyll content. Calculated as the difference between the near-infrared (NIR) and red-edge bands, normalized by their sum, NDRE enhances the contrast between healthy vegetation and non-vegetated areas due to the high sensitivity of red-edge reflectance to chlorophyll absorption. Higher NDRE values indicate greater photosynthetic activity and plant vigor, making it a valuable tool for monitoring vegetation health and biomass estimation."
115,116,Normalized Difference NIR/SWIR Normalized Burn Ratio,NBR,NIR-SWIRNIR+SWIR,9-129+12,Automatic,More,"The Normalized Difference NIR/SWIR Normalized Burn Ratio (NBR) is a remote sensing index used to assess burn severity in vegetation. It is calculated by normalizing the difference between the near-infrared (NIR) and shortwave infrared (SWIR) bands, and then dividing the result by the sum of the NIR and SWIR bands. The resulting NBR values range from -1 to 1, with negative values indicating areas of high burn severity and positive values indicating areas of low burn severity."
116,117,Normalized Difference Red/Green Redness Index,RI,R-GR+G,5-35+3,Automatic,More,"The Normalized Difference Red/Green Redness Index (RI) is a vegetation index calculated from Sentinel-2 satellite imagery. It utilizes the red and green bands to quantify the relative abundance of vegetation on the ground. Higher RI values indicate denser and healthier vegetation, while lower values suggest sparse or stressed vegetation. RI is commonly used in agricultural monitoring, land cover classification, and assessing vegetation health at regional and global scales. By measuring the difference between the reflectance in the red and green spectral bands, RI provides a robust indicator of vegetation presence and vigor."
117,118,Normalized Difference Salinity Index,NDSI,[1600:1700]-[2145:2185][1600:1700]+[2145:2185],11-1211+12,Automatic,More,"The Normalized Difference Salinity Index (NDSI) is a remote sensing index designed to estimate surface salinity in water bodies using multispectral satellite imagery. It is calculated as the normalized difference between a band sensitive to salinity (typically in the shortwave infrared range) and a reference band that is less affected by salinity variations (often in the near-infrared range). Higher NDSI values indicate higher salinity levels, while lower values indicate lower salinity. The index is commonly used in coastal and inland water environments to monitor changes in salinity due to natural processes (e.g., evaporation, precipitation) or human activities (e.g., discharge of saline wastewater)."
118,119,Normalized Difference Vegetation Index 690-710,NDVI690-710,NIR-[690:710]NIR+[690:710],9-59+5,Automatic,More,"Normalized Difference Vegetation Index (NDVI) is a measure of vegetation cover and is calculated using the difference between the near-infrared (NIR) and red bands of a satellite image, divided by their sum. The NDVI690-710 specifically uses the NIR band centered around 690 nanometers and the red band centered around 710 nanometers. Higher NDVI values typically indicate greater vegetation density and health, while lower values may indicate bare soil, water, or other non-vegetated surfaces."
119,120,Normalized Difference Vegetation Index C,NDVIc,NIR-REDNIR+RED(1-SWIR-SWIIRminSWIRmax-SWIRmin),9-59+5(1-12-SWIIRminSWIRmax-SWIRmin),Automatic,More,"Normalized Difference Vegetation Index C (NDVIc) is an index used to assess vegetation health and vigor. It is calculated using the near-infrared (NIR) and red (RED) bands of Sentinel-2 imagery, according to the following formula:

NDVIc = (NIR - RED) / (NIR + RED + BLUE)

NDVIc values range from -1 to 1, with higher values indicating healthier vegetation. Vegetation with high chlorophyll content and low water content will have higher NDVIc values, while vegetation with low chlorophyll content and high water content will have lower NDVIc values. NDVIc is widely used in remote sensing applications for monitoring vegetation growth, drought stress, and land cover changes."
120,121,Optimized Soil Adjusted Vegetation Index,OSAVI,(1+Y)800nm-670nm800nm+670nm+Y,(1+0.16)8-48+4+0.16,Automatic,More,"Optimized Soil Adjusted Vegetation Index (OSAVI) is a vegetation index specifically designed to enhance the contrast between vegetation and soil in areas with high soil brightness, such as arid or semi-arid regions. It was developed to minimize the influence of soil brightness on vegetation indices, making it more suitable for monitoring vegetation in such areas. The index is calculated using a combination of the near-infrared (NIR) and red (RED) bands, with an additional soil adjustment factor to account for soil brightness variations. OSAVI has been widely used for vegetation monitoring, biomass estimation, and land cover classification, particularly in regions with complex soil backgrounds."
121,122,Pan NDVI,PNDVI,NIR-(GREEN+RED+BLUE)NIR+(GREEN+RED+BLUE),9-(3+5+1)9+(3+5+1),Automatic,More,"Pan NDVI (PNDVI) is a remote sensing index that combines information from the near-infrared (NIR) and shortwave infrared (SWIR) bands of Sentinel-2 imagery. PNDVI is calculated as (NIR - SWIR) / (NIR + SWIR). The index is sensitive to vegetation and soil moisture, and it can be used to monitor vegetation health and crop growth. High values of PNDVI indicate healthy, dense vegetation, while low values indicate sparse or stressed vegetation. PNDVI is also sensitive to soil moisture, and it can be used to monitor soil moisture content."
122,123,Perpendicular Vegetation Index,PVI,(1√a2+1)(NIR-ar-b),(1√a2+1)(9-ar-b),Automatic,More,"Perpendicular Vegetation Index (PVI) is a remote sensing index that utilizes the reflectance values of specific Sentinel-2 bands to assess vegetation density and health. It is calculated by combining the near-infrared (NIR) band, which is highly sensitive to vegetation, with the red band. PVI provides insights into the amount and vigor of vegetation cover, making it a valuable tool for monitoring vegetation growth, biomass estimation, and land cover classification. The index ranges from negative values in non-vegetated areas to positive values in areas with dense vegetation. Higher PVI values indicate greater vegetation density, while lower values represent sparse or stressed vegetation."
123,124,Ratio Analysis of Reflectance Spectra A1,RARSa1,675nm700nmr675r700,45r675r700,Automatic,More,"Ratio Analysis of Reflectance Spectra A1 (RARSa1) is a vegetation index calculated from Sentinel-2 imagery that measures the ratio of near-infrared band 8 (865 nm) to red band 4 (665 nm) reflectance. It is sensitive to chlorophyll content and can be used to assess vegetation health and biomass. RARSa1 values range from 0 to 1, with higher values indicating higher vegetation density and photosynthetic activity."
124,125,Ratio Analysis of Reflectance Spectra A2,RARSa2,680nm700nmr680r700,45r680r700,Automatic,More,"Ratio Analysis of Reflectance Spectra A2 (RARSa2) is a spectral index that measures the ratio between the reflectance values in two specific bands of the Sentinel-2 satellite imagery. It is commonly used to estimate the chlorophyll content in vegetation, with higher RARSa2 values indicating higher chlorophyll content. RARSa2 is calculated as the ratio of the reflectance in Band 6 (red edge, 705 nm) to the reflectance in Band 4 (red, 665 nm)."
125,126,Ratio Analysis of Reflectance Spectra A3,RARSa3,675nm800nmr670r800,48r670r800,Automatic,More,"The Ratio Analysis of Reflectance Spectra A3 (RARSa3) index is a remote sensing vegetation index derived from Sentinel-2 satellite imagery. It employs a combination of visible, near-infrared, and red-edge spectral bands to quantify vegetation reflectance characteristics. RARSa3 is particularly sensitive to vegetation chlorophyll content, biomass, and leaf area index. It is commonly used in precision agriculture, forestry, and environmental monitoring applications to assess vegetation health, growth status, and canopy cover."
126,127,Ratio Analysis of Reflectance Spectra A4,RARSa4,680nm800nmr680r800,48r680r800,Automatic,More,"Ratio Analysis of Reflectance Spectra A4 (RARSa4) is a spectral index that measures the ratio between the reflectance in band 4 (red edge) and band 3 (red) of the Sentinel-2 satellite imagery. It is specifically designed to enhance vegetation information by highlighting the difference between healthy and stressed vegetation. RARSa4 values range from 0 to 1, with higher values indicating healthier vegetation and lower values indicating vegetation stress or low chlorophyll content. This index is commonly used in agricultural monitoring, forest health assessment, and crop yield estimation."
127,128,Ratio Analysis of Reflectance Spectra C3,RARSc3,800nm500nmr800r500,82r800r500,Automatic,More,"Ratio Analysis of Reflectance Spectra C3 (RARSc3) is a spectral index calculated using Sentinel-2 satellite imagery. It is a variation of the widely used Ratio Analysis of Reflectance Spectra (RARS) index, specifically designed for applications in coastal and aquatic environments. RARSc3 utilizes the reflectance values from Sentinel-2's coastal aerosol band (Band 1) and green band (Band 3) to quantify the presence of suspended sediments and colored dissolved organic matter (CDOM) in water bodies. Higher values of RARSc3 indicate increased sediment load or CDOM concentration, providing valuable information for monitoring water quality, coastal processes, and sediment transport dynamics."
128,129,Ratio Analysis of Reflectance Spectra C4,RARSc4,800nm470nmr800r470,82r800r470,Automatic,More,"Ratio Analysis of Reflectance Spectra C4 (RARSc4) index is a vegetation index derived from Sentinel-2 imagery. It is calculated as the ratio between the reflectance in the red and green bands, and it is used to estimate the chlorophyll content and photosynthetic activity of vegetation. RARSc4 is particularly sensitive to changes in vegetation greenness and can be used to monitor vegetation health, crop growth, and drought stress. Values of RARSc4 range from 0 to 1, with higher values indicating healthier and more vigorous vegetation."
129,130,RDVI,RDVI,800nm-670nm(800nm+670nm)0.5,8-4(8+4)0.5,Automatic,More,"The Red-Edge Vegetation Index (RDVI) is a vegetation index that utilizes the reflectance in the visible red and red-edge bands. It is calculated as (Red-Edge - Red) / (Red-Edge + Red). The RDVI is sensitive to changes in chlorophyll content and leaf area index, making it a useful indicator of vegetation health and productivity."
130,131,RDVI2,RDVI2,833nm-658nm√833nm+658nm,8-4√8+4,Automatic,More,"**RDVI2 (Renormalized Difference Vegetation Index 2)**:

The Renormalized Difference Vegetation Index 2 (RDVI2) is a vegetation index designed to enhance the detection of vegetation in areas with low biomass or sparse vegetation cover. It is calculated using the following formula:

RDVI2 = (NIR - RED) / (NIR + RED + BLUE)

where NIR, RED, and BLUE represent the reflectance values in the near-infrared, red, and blue bands of the Sentinel-2 imagery, respectively.

RDVI2 is similar to the widely-used Normalized Difference Vegetation Index (NDVI), but it has been modified to reduce the influence of soil background reflectance and atmospheric effects. This makes it particularly useful for monitoring vegetation in arid or semi-arid regions, where soil background reflectance can be high. RDVI2 values range from -1 to 1, with higher values indicating denser vegetation cover."
131,132,Red edge 1,Rededge1,[708:716][676:685],54,Automatic,More,"Red edge 1 (Rededge1) is an index that utilizes the reflectance values in the red-edge band of the Sentinel-2 satellite imagery. This index is sensitive to the chlorophyll content in vegetation, which makes it useful for vegetation monitoring applications. Higher values of Rededge1 indicate higher chlorophyll concentration, while lower values indicate lower chlorophyll concentration."
132,133,Red edge 2,Rededge2,[708:716]-[676:685][708:716]+[676:685],5-45+4,Automatic,More,"The Red Edge 2 (RE2) index utilizes Sentinel-2 bands at 705 nm (band 9) and 740 nm (band 10) to monitor vegetation health and detect subtle changes in chlorophyll content. The RE2 index responds to the difference in reflectance between these two bands, where a higher RE2 value indicates increased chlorophyll concentration and plant vigor. It serves as a sensitive indicator of plant stress and can be particularly useful in detecting early signs of nutrient deficiencies, environmental damage, or disease outbreaks."
133,134,Red-Blue NDVI,RBNDVI,NIR-(RED+BLUE)NIR+(RED+BLUE),9-(5+1)9+(5+1),Automatic,More,"Red-Blue NDVI (RBNDVI) is a vegetation index derived from Sentinel-2 imagery. It is calculated using the following formula:

```
RBNDVI = (Band_5 - Band_4) / (Band_5 + Band_4)
```

where Band_4 and Band_5 correspond to the visible blue and red bands of Sentinel-2, respectively. RBNDVI is sensitive to changes in leaf chlorophyll content and vegetation cover. It is commonly used to estimate plant biomass, monitor vegetation health, and detect land cover changes."
134,135,Red-Edge Inflection Point 1,REIP1,700+40((670nm+780nm2)-700nm740nm-700nm),700+40((4+72)-56-5),Automatic,More,"The Red-Edge Inflection Point 1 (REIP1) index is a spectral index that measures the inflection point in the red-edge region of the reflectance spectrum, which is typically located around 700 nm. The REIP1 index is sensitive to changes in leaf chlorophyll content and can be used to estimate leaf chlorophyll concentration and monitor vegetation health. Higher REIP1 values indicate higher chlorophyll content and healthier vegetation, while lower REIP1 values indicate lower chlorophyll content and stressed vegetation. The REIP1 index is particularly useful for monitoring vegetation in areas with high levels of atmospheric interference, such as urban areas or areas with high levels of aerosols."
135,136,Red-Edge Inflection Point 2,REIP2,702+40((667nm+782nm2)-702nm742nm-702nm),702+40((4+72)-56-5),Automatic,More,"Red-Edge Inflection Point 2 (REIP2) is a vegetation index derived from Sentinel-2 imagery. It utilizes the reflectance measurements in the red-edge spectral region (around 705 nanometers) to estimate the chlorophyll content of vegetation. Higher REIP2 values indicate higher chlorophyll concentrations, which are associated with increased photosynthetic activity and biomass production. REIP2 is particularly useful for monitoring vegetation health, detecting changes in plant productivity, and assessing crop yields."
136,137,Red-Edge Inflection Point 3,REIP3,705+35((665nm+783nm2)-705nm740nm-705nm),705+35((4+72)-56-5),Automatic,More,"The Red-Edge Inflection Point 3 (REIP3) index leverages the unique spectral characteristics of vegetation in the red-edge region (680-740 nm) of the electromagnetic spectrum. This region exhibits a sharp inflection point where vegetation reflectance transitions from strong absorption to high reflectance. REIP3 is formulated to capture the precise location of this inflection point, providing insights into vegetation physiological properties, such as chlorophyll content, leaf area index, and canopy structure."
137,138,Red-Edge Position Linear Interpolation,REP,700+40(670nm+780nm2)-700nm740nm-700nm,700+40(4+72)-56-5,Automatic,More,The Red-Edge Position Linear Interpolation (REP) index is a vegetation index that estimates the position of the red edge inflection point in the reflectance spectrum. The red edge is the point at which the reflectance of vegetation changes from increasing to decreasing with increasing wavelength. This change is due to the absorption of light by chlorophyll in the red and blue wavelengths and the scattering of light by cell walls in the near-infrared wavelengths. The REP index is calculated using a linear interpolation of the reflectance values at two wavelengths on either side of the red edge. The REP index is a useful indicator of vegetation health and can be used to monitor changes in vegetation cover.
138,139,Reduced Simple Ratio,RSR,NIRRED·MIRmax-MIRMIRmax-MIRmin,95·MIRmax-12MIRmax-MIRmin,Automatic,More,"The Reduced Simple Ratio (RSR) is a spectral index designed to enhance the detection of vegetation and quantify its greenness. It is calculated as the ratio of the reflectance in the red (R) and short-wave infrared (SWIR) bands, as follows:

RSR = (SWIR - R) / (SWIR + R)

The RSR index exploits the strong absorption of red light by chlorophyll and the high reflectance of vegetation in the SWIR region. Healthy vegetation exhibits high RSR values due to its low red reflectance and high SWIR reflectance. Conversely, non-vegetated areas, such as bare soil or water bodies, have low RSR values because they reflect more red light and less SWIR light."
139,140,Reflectance at the inflexion point,Rre,[670]+[780]2,4+72,Automatic,More,"Reflectance at the inflexion point (Rre) is an index derived from Sentinel-2 imagery that quantifies the inflection point of the reflectance spectrum in the red-edge region. This point represents the transition from chlorophyll absorption to scattering, and thus provides information about vegetation structure and chlorophyll content. Higher values of Rre indicate a higher proportion of healthy vegetation with a more developed canopy, while lower values indicate sparse vegetation or vegetation under stress."
140,141,Renormalized Difference Vegetation Index,RDVI,800nm-670nm√800nm+670nm,8-4√8+4,Automatic,More,"The Renormalized Difference Vegetation Index (RDVI) is a satellite-based vegetation index that measures the amount of photosynthetically active radiation absorbed by plants. It is calculated using the following formula:

RDVI = (NIR - Red) / (NIR + Red)

where NIR is the near-infrared band and Red is the red band.

The RDVI is a measure of the amount of green vegetation in an area. It is often used to monitor the health of vegetation, as well as to track changes in land cover and land use. The RDVI is a unitless index that ranges from -1 to 1. Values close to 1 indicate dense vegetation, while values close to -1 indicate bare soil or water."
141,142,SAVImir,SAVImir,(NIR-MIR)1+LNIR+MIR+L,(9-12)1+L9+12+L,Automatic,More,"SAVImir (Soil-Adjusted Vegetation Index using Mirek's Soil Brightness Index) is a vegetation index that incorporates the effects of both the soil and vegetation on the reflectance values in the visible and near-infrared bands. It is calculated as follows:

SAVImir = (4ρNIR - 2ρRED - ρBLUE) / (2ρNIR + 1 + 0.5ρBLUE - ρRED - 0.5ρGREEN)

where ρNIR, ρRED, ρBLUE, and ρGREEN are the reflectance values in the near-infrared, red, blue, and green bands, respectively.

SAVImir is sensitive to vegetation greenness and density, and it is also able to minimize the effects of soil brightness on the reflectance values. This makes it a useful index for vegetation monitoring in areas with variable soil conditions."
142,143,Shape Index,IF,2R-G-BG-B,25-3-13-1,Automatic,More,"The Shape Index (IF) measures the complexity of object shapes within a given spatial region. It quantifies the irregularity and elongation of objects by comparing their perimeter to their area. A higher IF value indicates a more complex and elongated shape, while a lower value reflects a simpler and more compact shape. The Shape Index is particularly useful for characterizing the spatial distribution and characteristics of landscape features, such as land cover types, water bodies, and urban areas."
143,144,Simple Ratio 1599/819 Moisture Stress Index 2,MSI2,1599nm819nm,118,Automatic,More,"The MSI2, also known as Simple Ratio 1599/819 Moisture Stress Index 2, is a remote sensing index calculated using the reflectance values from two specific bands of the Sentinel-2 satellite imagery. Specifically, it utilizes the near-infrared band centered at 1599 nanometers and the red band centered at 819 nanometers. This index is primarily used to assess vegetation health and monitor moisture stress in plants. Higher MSI2 values indicate higher levels of moisture stress, while lower values suggest adequate moisture levels. It is commonly employed in agricultural applications to identify areas of crop water deficit and optimize irrigation strategies."
144,145,Simple Ratio 1600/820 Moisture Stress Index,MSI,1600nm820nm,118,Automatic,More,"The Simple Ratio 1600/820 Moisture Stress Index (MSI) is calculated from the reflectance values of Sentinel-2 bands 5 (1600 nm) and 4 (820 nm). This index quantifies the moisture content of vegetation and the amount of water stress experienced by plants. Higher MSI values indicate higher moisture content and reduced water stress, while lower values indicate lower moisture content and increased water stress. The MSI is particularly useful for monitoring agricultural crops, detecting drought conditions, and assessing plant health and productivity."
145,146,Simple Ratio 1650/2218,TM5/TM7,1650nm2218nm,1112,Automatic,More,"The Simple Ratio index is a widely used vegetation index that measures the ratio of reflectance in two specific bands of the electromagnetic spectrum: band 5 (red) and band 7 (near-infrared). It is calculated as the ratio of the reflectance in band 5 to the reflectance in band 7. 

The Simple Ratio index is particularly sensitive to changes in vegetation density and greenness. High values of the index indicate dense and healthy vegetation, while low values indicate sparse or stressed vegetation. It is commonly used in remote sensing applications to monitor vegetation cover, assess crop health, and detect changes in vegetation phenology."
146,147,Simple Ratio 440/740,SR440/740,440nm740nm,16,Automatic,More,"The Simple Ratio (SR) index is a widely used vegetation index that measures the ratio between two specific wavelength bands. In the case of SR440/740, the index is calculated as the ratio between the reflectance values in the blue band (440 nm) and the red band (740 nm). This index is particularly sensitive to chlorophyll absorption and can provide valuable information about vegetation health, biomass, and leaf area index. Higher SR440/740 values typically indicate healthier and more dense vegetation, while lower values may suggest vegetation stress or senescence."
147,148,Simple Ratio 450/550 Blue green pigment index,BGI,450nm550nm,13,Automatic,More,"The Blue Green Pigment Index (BGI) is a vegetation index derived from Sentinel-2 imagery that estimates the amount of blue-green pigments in plant canopies. It is calculated as the ratio of reflectance in the blue (450 nm) and green (550 nm) bands. Higher BGI values indicate higher concentrations of blue-green pigments, which are associated with photosynthetic activity and plant health. BGI is commonly used to monitor vegetation growth, detect plant stress, and assess crop productivity."
148,149,Simple Ratio 520/670,SR520/670,520nm670nm,24,Automatic,More,"The Simple Ratio index (SR) is calculated by dividing the reflectance values of two bands. In the case of SR520/670, the reflectance values of band 5 (520 nm) are divided by the reflectance values of band 7 (670 nm). This index is commonly used to assess the amount of chlorophyll in vegetation, as the reflectance of band 5 is strongly influenced by chlorophyll absorption, while the reflectance of band 7 is less affected. Higher values of SR520/670 indicate higher levels of chlorophyll and, therefore, greater vegetation biomass and health."
149,150,Simple Ratio 550/670,SR550/670,550nm670nm,34,Automatic,More,"**Simple Ratio 550/670:**

The Simple Ratio 550/670 is an index designed to enhance the detection of vegetation by utilizing the unique spectral properties of plant canopies in Sentinel-2 imagery. This index leverages the strong reflectance of vegetation in the green band (550nm) and the reduced reflectance in the red band (670nm). By dividing the reflectance values in these two bands, the Simple Ratio 550/670 provides a measure that effectively discriminates between vegetation and other land cover types, making it a valuable indicator of vegetation health, coverage, and biomass."
150,151,Simple Ratio 550/680 Disease-Water Stress Index 4,DSWI-4,550nm680nm,34,Automatic,More,"The DSWI-4 or Simple Ratio 550/680 Disease-Water Stress Index 4 is a remote sensing index used to assess plant health and water stress. It is calculated as the ratio of reflectance values in two specific spectral bands: the green band (550 nm) and the red edge band (680 nm). Healthy vegetation typically has high reflectance in both the green and red edge bands, resulting in a high DSWI-4 value. Conversely, stressed vegetation or vegetation affected by disease often has reduced reflectance in the red edge band, leading to a lower DSWI-4 value. This index is particularly sensitive to changes in plant water content and can provide valuable information for monitoring crop health, detecting water stress, and assessing the impact of environmental stressors on vegetation."
151,152,Simple Ratio 550/800,SR550/800,550nm800nm,38,Automatic,More,"**Simple Ratio 550/800:** This index is calculated by dividing the reflectance value in Sentinel-2 Band 5 (550 nm) by the reflectance value in Band 8 (800 nm). It is commonly used for vegetation monitoring, as it enhances the contrast between vegetation and soil. Higher values indicate denser or more vigorous vegetation, while lower values indicate less vegetation or bare soil."
152,153,Simple Ratio 554/677 Greenness Index,GI,554nm677nm,34,Automatic,More,"The Simple Ratio (SR) index, also known as the Greenness Index (GI), is a vegetation index that measures the ratio of reflectance in two specific wavelength bands: the green band (centered around 554 nanometers) and the red band (centered around 677 nanometers). The green band is sensitive to chlorophyll absorption, while the red band is sensitive to chlorophyll and anthocyanin absorption.

The SR index is calculated as follows:

SR = (Green band reflectance) / (Red band reflectance)

Values of the SR index range from 0 to infinity. Higher values of the SR index indicate greater greenness and chlorophyll content in vegetation. The SR index is often used to monitor vegetation health and assess crop yields."
153,154,Simple Ratio 560/658 GRVIhyper,SR560/658,560nm658nm,34,Automatic,More,"The Simple Ratio 560/658 GRVIhyper (Green Red Vegetation Index hyper) is a vegetation index used to estimate the amount of green and red vegetation present in an area. The index is calculated by dividing the reflectance value at 560 nanometers (nm) by the reflectance value at 658 nm. Values of the index range from 0 to 1, with higher values indicating more green and red vegetation. The index is particularly sensitive to changes in the amount of chlorophyll in vegetation, making it a useful tool for monitoring vegetation health and productivity."
154,155,Simple Ratio 672/550 Datt5,SR672/550,672nm550nm,43,Automatic,More,"Simple Ratio 672/550 Datt5 is an index derived from bands 6 (red edge) and 5 (red) of Sentinel-2 imagery. It is commonly used to highlight vegetation by enhancing the contrast between dense vegetation and other land cover types. The index is based on the principle that healthy vegetation has high reflectance in the red edge band compared to the red band, while non-vegetated areas have similar reflectance in both bands. As a result, the index values are typically higher for vegetated areas, making them more distinguishable from other land cover types."
155,156,Simple Ratio 672/708,SR672/708,672nm708nm,45,Automatic,More,"The Simple Ratio 672/708 index is effective for delineating vegetation cover and estimating chlorophyll content. It is calculated by dividing the reflectance value of band 6 (672nm) by that of band 7 (708nm). Higher values of the index indicate denser and greener vegetation, as these bands are sensitive to chlorophyll absorption and reflectance, respectively."
156,157,Simple Ratio 674/553,SR674/553,674nm553nm,43,Automatic,More,"The Simple Ratio (SR) index is a vegetation index used to estimate the amount of green vegetation in an area. It is calculated by dividing the reflectance of the near-infrared band (NIR) by the reflectance of the red band (R). The NIR band is highly sensitive to the presence of green vegetation, while the red band is less sensitive. Therefore, the SR index provides a measure of the relative amount of green vegetation in an area. The higher the SR index, the more green vegetation is present. The SR index can be used to monitor vegetation health, detect changes in vegetation cover, and estimate the amount of biomass in an area."
157,158,Simple Ratio 675/555,SR675/555,675nm555nm,43,Automatic,More,"Simple Ratio 675/555 is a vegetation index calculated from the reflectance values of two spectral bands, 675 nm (red) and 555 nm (green). It is used to estimate chlorophyll content and vegetation density, as well as to monitor vegetation health and stress. Higher values of Simple Ratio 675/555 indicate higher chlorophyll content and vegetation density, while lower values indicate lower chlorophyll content and vegetation density."
158,159,Simple Ratio 675/700,SR675/700,675nm700nm,45,Automatic,More,"The Simple Ratio (SR) 675/700 is a vegetation index derived from the reflectance values of Sentinel-2 bands 6 (red edge, 665 nm) and 7 (near-infrared, 705 nm). It is designed to enhance the contrast between healthy vegetation and soil or other non-vegetative surfaces. Higher SR values indicate denser and more vigorous vegetation, as healthy vegetation reflects more in the near-infrared band than in the red edge band. This index is commonly used for vegetation monitoring, land cover classification, and crop health assessment."
